Name,Hardiness,Climate Zones,Plant Type,Plant Family,Exposure,Season of Interest,Height,Spread,Water Needs,Soil Type,Soil pH,Soil Drainage,Characteristics,Tolerance,Garden Uses,Garden Styles,Min-Height(feet),Max-Height(feet),Min-Height(cm),Max-Height(cm),Min-Spread(feet),Max-Spread(feet),Min-Spread(cm),Max-Spread(cm),Hardiness(Min),Hardiness(Max)
ilex verticillata mr. poppins winterberry,"3
– 9",159,shrubs,64,"full sun, partial sun",1,"3'
– 4'
(90cm
– 120cm)","3'
– 4'
(90cm
– 120cm)","average, high",3,,"moist but well-drained, poorly drained",8,"clay soil, wet soil",banks and slopesbeds and bordersbog gardenshedges and screensponds and streamsrain gardenssmall gardens,informal and cottage,0,15,0,15,3,4,90,120.0,6,0
ilex vomitoria yaupon,"7
– 9",163,"shrubs, trees",64,"full sun, partial sun",2,"10'
– 20'
(3m
– 6m)","8'
– 12'
(240cm
– 3.6m)","low, average, high",4,,"moist but well-drained, well-drained",46,"drought, dry soil, salt",hedges and screensponds and streamsrain gardens,coastal garden,5,10,5,10,8,12,240,360.0,8,0
illicium anisatum japanese anise,"7
– 9",25,"shrubs, trees",65,"full sun, partial sun",2,"6'
– 15'
(180cm
– 4.5m)","6'
– 8'
(180cm
– 240cm)",average,2,,moist but well-drained,21,deer,wall-side borders,city and courtyardcoastal gardeninformal and cottagemediterranean garden,10,8,11,8,6,8,180,240.0,8,0
illicium parviflorum florida sunshine small anise,"7
– 9",25,shrubs,65,partial sun,2,"4'
– 8'
(120cm
– 240cm)","2'
– 3'
(60cm
– 90cm)",average,1,,"moist but well-drained, moisture retentive",21,"deer, wet soil",small gardens,city and courtyardinformal and cottagemediterranean garden,2,13,2,13,2,3,60,90.0,8,0
illicium parviflorum bananappeal small anise,"7
– 9",25,shrubs,65,partial sun,2,"3'
– 4'
(90cm
– 120cm)","3'
– 4'
(90cm
– 120cm)",average,1,,"moist but well-drained, moisture retentive",21,"deer, wet soil",small gardens,city and courtyardinformal and cottagemediterranean garden,0,15,0,15,3,4,90,120.0,8,0
jacobaea maritima dusty miller,"8
– 11",0,"perennials, shrubs",66,"full sun, partial sun",1,"6""
– 2'
(15cm
– 60cm)","6""
– 1'
(15cm
– 30cm)","low, average",4,,well-drained,32,"deer, drought",beds and bordersedgingpatio and containers,city and courtyardcoastal gardeninformal and cottage,10,3,15,3,6,1,15,30.0,3,4
jasminum officinale common jasmine,"7
– 10",164,"climbers, shrubs",67,"full sun, partial sun",1,"15'
– 30'
(4.5m
– 9m)","7'
– 15'
(210cm
– 4.5m)",average,4,,"moist but well-drained, well-drained",7,deer,arbors pergolas trellisesground coverswall-side borderswalls and fences,coastal garden,8,7,9,7,7,15,210,450.0,8,3
juniperus  pfitzeriana hetzii chinese juniper,"3
– 9",165,"conifers, shrubs",68,full sun,2,"4'
– 15'
(120cm
– 4.5m)","6'
– 15'
(180cm
– 4.5m)","low, average",4,,well-drained,1,"deer, drought, dry soil, rocky soil",beds and bordershedges and screens,informal and cottagejapanese gardentraditional garden,2,8,2,8,6,15,180,450.0,6,0
juniperus  pfitzeriana old gold chinese juniper,"4
– 9",165,"conifers, shrubs",68,full sun,2,"2'
– 3'
(60cm
– 90cm)","4'
– 5'
(120cm
– 150cm)","low, average",4,,well-drained,3,"deer, drought, dry soil, rocky soil",beds and bordersground covershedges and screens,coastal gardengravel and rock gardeninformal and cottagejapanese gardentraditional garden,1,1,1,1,4,5,120,150.0,1,0
juniperus  pfitzeriana saybrook gold chinese juniper,"4
– 9",165,"conifers, shrubs",68,full sun,2,"2'
– 3'
(60cm
– 90cm)","5'
– 6'
(150cm
– 180cm)","low, average",4,,well-drained,1,"deer, drought, dry soil, rocky soil",beds and bordersground covershedges and screens,coastal gardengravel and rock gardeninformal and cottagejapanese gardentraditional garden,1,1,1,1,5,6,150,180.0,1,0
juniperus  pfitzeriana sea green chinese juniper,"4
– 9",165,"conifers, shrubs",68,full sun,2,"4'
– 6'
(120cm
– 180cm)","6'
– 8'
(180cm
– 240cm)","low, average",4,,well-drained,1,"deer, drought, dry soil, rocky soil",beds and bordershedges and screens,coastal gardengravel and rock gardeninformal and cottagejapanese gardentraditional garden,2,2,2,2,6,8,180,240.0,1,0
juniperus chinensis stricta chinese juniper,"4
– 9",165,"conifers, shrubs",68,full sun,2,"5'
– 6'
(150cm
– 180cm)","2'
– 4'
(60cm
– 120cm)","low, average",4,,well-drained,1,"deer, drought, dry soil, rocky soil",beds and bordershedges and screenssmall gardens,informal and cottagetraditional garden,11,2,12,2,2,4,60,120.0,1,0
juniperus communis compressa common juniper,"2
– 6",166,"conifers, shrubs",68,full sun,2,"2'
– 3'
(60cm
– 90cm)","1'
– 2'
(30cm
– 60cm)","low, average",4,,"moist but well-drained, well-drained",3,"deer, drought, dry soil, rocky soil",beds and borderspatio and containers,gravel and rock gardeninformal and cottagetraditional garden,1,1,1,1,1,2,30,60.0,7,2
juniperus communis gold cone common juniper,"2
– 6",166,"conifers, shrubs",68,full sun,2,"3'
– 5'
(90cm
– 150cm)","1'
– 2'
(30cm
– 60cm)","low, average",4,,"moist but well-drained, well-drained",1,"deer, drought, dry soil, rocky soil",beds and borderspatio and containers,gravel and rock gardeninformal and cottagetraditional garden,0,0,0,0,1,2,30,60.0,7,2
juniperus communis green carpet common juniper,"3
– 9",166,"conifers, shrubs",68,full sun,2,"4""
– 6""
(10cm
– 15cm)","2'
– 3'
(60cm
– 90cm)","low, average",4,,well-drained,3,"deer, drought, dry soil, rocky soil",beds and bordersground covers,gravel and rock gardeninformal and cottagetraditional garden,2,2,16,16,2,3,60,90.0,6,0
juniperus communis hibernica irish juniper,"2
– 7",166,"conifers, shrubs",68,"full sun, partial sun",2,"5'
– 15'
(150cm
– 4.5m)","2'
– 4'
(60cm
– 120cm)","low, average",4,,"moist but well-drained, well-drained",3,"deer, drought, dry soil, rocky soil",beds and bordershedges and screens,informal and cottagetraditional garden,11,8,12,8,2,4,60,120.0,7,1
juniperus communis repanda common juniper,"2
– 9",166,"conifers, shrubs",68,full sun,2,"1'
– 2'
(30cm
– 60cm)","6'
– 8'
(180cm
– 240cm)","low, average",4,,well-drained,3,"deer, drought, dry soil, rocky soil",beds and bordersground covers,gravel and rock gardeninformal and cottagetraditional garden,3,3,3,3,6,8,180,240.0,7,0
juniperus communis suecica aurea swedish juniper,"2
– 7",166,"conifers, shrubs",68,"full sun, partial sun",2,"3'
– 5'
(90cm
– 150cm)","1'
– 2'
(30cm
– 60cm)","low, average",4,,"moist but well-drained, well-drained",1,"deer, drought, dry soil, rocky soil",beds and bordershedges and screens,informal and cottagetraditional garden,0,0,0,0,1,2,30,60.0,7,1
juniperus horizontalis blue chip creeping juniper,"3
– 9",165,"conifers, shrubs",68,full sun,2,"8""
– 1'
(20cm
– 30cm)","5'
– 6'
(150cm
– 180cm)","low, average",4,,well-drained,1,"deer, drought, dry soil, rocky soil",banks and slopesbeds and borders,city and courtyardcoastal gardengravel and rock gardeninformal and cottagetraditional garden,12,6,17,6,5,6,150,180.0,6,0
juniperus horizontalis golden carpet creeping juniper,"3
– 9",165,"conifers, shrubs",68,full sun,2,"3""
– 4""
(7cm
– 10cm)","3'
– 4'
(90cm
– 120cm)","low, average",4,,well-drained,3,"deer, drought, dry soil, rocky soil",banks and slopesbeds and borders,city and courtyardcoastal gardengravel and rock gardeninformal and cottagetraditional garden,0,15,19,20,3,4,90,120.0,6,0
juniperus horizontalis limeglow creeping juniper,"3
– 9",165,"conifers, shrubs",68,full sun,2,"6""
 – 1'
(15cm
– 30cm)","1'
– 3'
(30cm
– 90cm)","low, average",4,,well-drained,3,"deer, drought, dry soil, rocky soil",banks and slopesbeds and borders,city and courtyardcoastal gardengravel and rock gardeninformal and cottagetraditional garden,10,6,15,6,1,3,30,90.0,6,0
juniperus horizontalis wiltonii creeping juniper,"3
– 9",165,"conifers, shrubs",68,full sun,2,"3""
 – 6""
(7cm
– 15cm)","6'
– 8'
(180cm
– 240cm)","low, average",4,,well-drained,1,"deer, drought, dry soil, rocky soil",banks and slopesbeds and borders,city and courtyardcoastal gardengravel and rock gardeninformal and cottagetraditional garden,0,2,19,16,6,8,180,240.0,6,0
juniperus horizontalis creeping juniper,"3
– 9",167,"conifers, shrubs",68,full sun,2,"6""
– 2'
(15cm
– 60cm)","5'
– 8'
(150cm
– 240cm)","low, average",4,,well-drained,1,"deer, drought, dry soil, rocky soil",banks and slopesbeds and borders,city and courtyardcoastal gardengravel and rock gardeninformal and cottagetraditional garden,10,3,15,3,5,8,150,240.0,6,0
juniperus procumbens nana garden juniper,"4
– 9",165,"conifers, shrubs",68,full sun,2,"6""
– 1'
(15cm
 – 30cm)","5'
– 6'
(150cm
– 180cm)","low, average",4,,well-drained,3,"deer, drought, dry soil, rocky soil",banks and slopesbeds and bordersground covers,city and courtyardgravel and rock gardeninformal and cottagetraditional garden,10,6,15,6,5,6,150,180.0,1,0
juniperus rigida subsp. conferta all gold shore juniper,"6
– 8",168,"conifers, shrubs",68,full sun,2,"6""
(15cm)","6'
– 8'
(180cm
– 240cm)","low, average",4,,well-drained,3,"deer, drought, dry soil, rocky soil",beds and bordersground covers,city and courtyardinformal and cottagetraditional garden,10,-1,15,-1,6,8,180,240.0,0,5
juniperus rigida subsp. conferta blue pacific shore juniper,"6
– 9",168,"conifers, shrubs",68,full sun,2,"6""
– 1'
(15cm
– 30cm)","4'
– 6'
(120cm
– 180cm)","low, average",4,,well-drained,1,"deer, drought, dry soil, rocky soil",banks and slopesbeds and bordersground covers,city and courtyardcoastal gardengravel and rock gardeninformal and cottagetraditional garden,10,6,15,6,4,6,120,180.0,0,0
juniperus rigida subsp. conferta schlager shore juniper,"6
– 8",168,"conifers, shrubs",68,full sun,2,"10""
– 1'
(25cm
– 30cm)","3'
– 4'
(90cm
– 120cm)","low, average",4,,well-drained,3,"deer, drought, dry soil, rocky soil",beds and bordersground covers,city and courtyardinformal and cottagetraditional garden,5,6,6,6,3,4,90,120.0,0,5
juniperus sabina savin juniper,"4
– 7",169,"conifers, shrubs",68,full sun,2,"4'
– 6'
(120cm
– 180cm)","5'
– 10'
(150cm
– 3m)","low, average",4,,well-drained,1,"deer, drought, dry soil, rocky soil",banks and slopesbeds and bordersground covershedges and screens,city and courtyardcoastal gardeninformal and cottagetraditional garden,2,2,2,2,5,10,150,300.0,1,1
juniperus scopulorum wichita blue rocky mountain juniper,"3
– 7",165,"conifers, shrubs, trees",68,full sun,2,"10'
– 15'
(3m
– 4.5m)","4'
– 6'
(120cm
– 180cm)","low, average",4,,"moist but well-drained, well-drained",21,"deer, drought, dry soil, rocky soil, salt",hedges and screens,city and courtyard,5,8,5,8,4,6,120,180.0,6,1
juniperus squamata blue carpet flaky juniper,"4
– 7",165,"conifers, shrubs",68,full sun,2,"6""
– 1'
(15cm
– 30cm)","4'
– 5'
(120cm
– 150cm)","low, average",4,,well-drained,3,"deer, drought, dry soil, rocky soil",banks and slopesbeds and bordersground covers,city and courtyardcoastal gardengravel and rock gardeninformal and cottagetraditional garden,10,6,15,6,4,5,120,150.0,1,1
juniperus squamata blue star flaky juniper,"4
– 8",165,"conifers, shrubs",68,full sun,2,"2'
– 3'
(60cm
– 90cm)","3'
– 4'
(90cm
– 120cm)","low, average",4,,well-drained,3,"deer, drought, dry soil, rocky soil",beds and bordersground covers,city and courtyardcoastal gardengravel and rock gardeninformal and cottagetraditional garden,1,1,1,1,3,4,90,120.0,1,5
juniperus squamata dream joy flaky juniper,"4
– 7",165,"conifers, shrubs",68,full sun,2,"1'
– 2'
(30cm
– 60cm)","3'
– 4'
(90cm
– 120cm)","low, average",4,,well-drained,1,"deer, drought, dry soil, rocky soil",banks and slopesbeds and bordersground covers,city and courtyardcoastal gardengravel and rock gardeninformal and cottagetraditional garden,3,3,3,3,3,4,90,120.0,1,1
justicia californica chuparosa,"8
– 10",170,shrubs,69,full sun,2,"3'
– 4'
(90cm
– 120cm)","3'
– 4'
(90cm
– 120cm)",low,2,,well-drained,5,"drought, dry soil, rocky soil",beds and bordershedges and screensrain gardens,mediterranean garden,0,15,0,15,3,4,90,120.0,3,3
lagerstroemia coral magic crape myrtle,"7
– 9",171,shrubs,70,full sun,13,"8'
– 10'
(240cm
– 3m)","6'
– 8'
(180cm
– 240cm)",average,4,,well-drained,8,"clay soil, deer, drought",beds and bordershedges and screens,informal and cottagemediterranean garden,12,12,13,12,6,8,180,240.0,8,0
lagerstroemia ebony flame crape myrtle,"7
– 10",171,"shrubs, trees",70,full sun,3,"10'
– 12'
(3m
– 3.6m)","7'
– 8'
(210cm
– 240cm)",average,0,,well-drained,8,"clay soil, deer, drought",beds and bordershedges and screenssmall gardens,informal and cottagemediterranean garden,5,5,5,5,7,8,210,240.0,8,3
lagerstroemia lipan crape myrtle,"6
– 9",171,"shrubs, trees",70,full sun,3,"8'
– 15'
(240cm
– 4.5m)","6'
– 10'
(180cm
– 3m)",average,4,,well-drained,9,"clay soil, deer, drought",beds and bordershedges and screens,informal and cottagemediterranean garden,12,8,13,8,6,10,180,300.0,0,0
lagerstroemia plum magic crape myrtle,"7
– 9",172,"shrubs, trees",70,full sun,13,"12'
– 14'
(3.6m
– 4.3m)","8'
– 10'
(240cm
– 3m)",average,4,,well-drained,8,"clay soil, deer, drought",beds and borders,informal and cottagemediterranean garden,6,18,7,22,8,10,240,300.0,8,0
lagerstroemia purple magic crape myrtle,"6
– 9",173,shrubs,70,full sun,13,"6'
– 10'
(180cm
– 3m)","6'
– 10'
(180cm
– 3m)",average,4,,well-drained,8,"clay soil, deer, drought",beds and bordershedges and screens,informal and cottagemediterranean garden,10,12,11,12,6,10,180,300.0,0,0
lagerstroemia tonto crape myrtle,"6
– 9",174,"shrubs, trees",70,full sun,0,"8'
– 15'
(240cm
– 4.5m)","6'
– 10'
(180cm
– 3m)",average,4,,well-drained,9,"clay soil, deer, drought",beds and bordershedges and screens,informal and cottagemediterranean garden,12,8,13,8,6,10,180,300.0,0,0
lagerstroemia berry dazzle crape myrtle,"6
– 9",171,shrubs,70,full sun,3,"3'
– 4'
(90cm
– 120cm)","3'
– 4'
(90cm
– 120cm)",average,4,,well-drained,8,"clay soil, deer, drought",beds and borderspatio and containerssmall gardens,informal and cottagemediterranean garden,0,15,0,15,3,4,90,120.0,0,0
lagerstroemia burgundy cotton crape myrtle,"7
– 10",171,"shrubs, trees",70,full sun,3,"10'
– 12'
(3m
– 3.6m)","10'
– 12'
(3m
– 3.6m)",average,4,,well-drained,8,"clay soil, deer, drought",beds and bordershedges and screens,informal and cottagemediterranean garden,5,5,5,5,10,12,300,360.0,8,3
lagerstroemia cherry dazzle crape myrtle,"6
– 9",172,shrubs,70,full sun,3,"3'
– 5'
(90cm
– 150cm)","3'
– 5'
(90cm
– 150cm)",average,4,,well-drained,8,"clay soil, deer, drought",beds and borderspatio and containerssmall gardens,informal and cottagemediterranean garden,0,0,0,0,3,5,90,150.0,0,0
lagerstroemia dazzle me pink crape myrtle,"6
– 9",171,shrubs,70,full sun,3,"3'
– 4'
(90cm
– 120cm)","3'
– 4'
(90cm
– 120cm)",average,4,,well-drained,8,"clay soil, deer, drought",beds and borderspatio and containerssmall gardens,informal and cottagemediterranean garden,0,15,0,15,3,4,90,120.0,0,0
lagerstroemia delta fusion crape myrtle,"7
– 10",171,"shrubs, trees",70,full sun,3,"8'
– 12'
(240cm
– 3.6m)","4'
– 6'
(120cm
– 180cm)",average,0,,well-drained,8,"clay soil, deer, drought",beds and bordershedges and screenssmall gardens,coastal gardeninformal and cottagemediterranean garden,12,5,13,5,4,6,120,180.0,8,3
lagerstroemia delta jazz crape myrtle,"7
– 10",171,"shrubs, trees",70,full sun,3,"8'
– 12'
(240cm
– 3.6m)","4'
– 6'
(120cm
– 180cm)",average,0,,well-drained,8,"clay soil, deer, drought",beds and bordershedges and screenssmall gardens,coastal gardeninformal and cottagemediterranean garden,12,5,13,5,4,6,120,180.0,8,3
lagerstroemia delta moonlight crape myrtle,"7
– 10",171,"shrubs, trees",70,full sun,3,"8'
– 12'
(240cm
– 3.6m)","4'
– 6'
(120cm
– 180cm)",average,0,,well-drained,8,"clay soil, deer, drought",beds and bordershedges and screenssmall gardens,coastal gardeninformal and cottagemediterranean garden,12,5,13,5,4,6,120,180.0,8,3
lagerstroemia double feature crape myrtle,"7
– 10",171,shrubs,70,full sun,3,"6'
– 8'
(180cm
– 240cm)","6'
– 8'
(180cm
– 240cm)",average,4,,well-drained,8,"clay soil, deer, drought",beds and bordershedges and screens,informal and cottagemediterranean garden,10,13,11,13,6,8,180,240.0,8,3
lagerstroemia early bird lavender crape myrtle,"7
– 10",171,shrubs,70,full sun,1,"5'
– 6'
(150cm
– 180cm)","3'
– 4'
(90cm
– 120cm)",average,4,,well-drained,8,"clay soil, deer, drought",beds and bordershedges and screenspatio and containerssmall gardens,coastal gardeninformal and cottagemediterranean garden,11,2,12,2,3,4,90,120.0,8,3
lagerstroemia early bird purple crape myrtle,"7
– 10",171,shrubs,70,full sun,1,"5'
– 6'
(150cm
– 180cm)","3'
– 4'
(90cm
– 120cm)",average,4,,well-drained,8,"clay soil, deer, drought",beds and bordershedges and screenspatio and containerssmall gardens,coastal gardeninformal and cottagemediterranean garden,11,2,12,2,3,4,90,120.0,8,3
lagerstroemia early bird white crape myrtle,"7
– 10",171,shrubs,70,full sun,1,"5'
– 6'
(150cm
– 180cm)","3'
– 4'
(90cm
– 120cm)",average,4,,well-drained,8,"clay soil, deer, drought",beds and bordershedges and screenspatio and containerssmall gardens,coastal gardeninformal and cottagemediterranean garden,11,2,12,2,3,4,90,120.0,8,3
lagerstroemia infinitini brite pink crape myrtle,"6
– 12",171,shrubs,70,full sun,3,"2'
– 4'
(60cm
– 120cm)","2'
– 4'
(60cm
– 120cm)",average,4,,well-drained,8,"clay soil, deer, drought",beds and borderspatio and containerssmall gardens,informal and cottagemediterranean garden,1,15,1,15,2,4,60,120.0,0,6
lagerstroemia infinitini magenta crape myrtle,"6
– 12",171,shrubs,70,full sun,3,"2'
– 4'
(60cm
– 120cm)","2'
– 4'
(60cm
– 120cm)",average,4,,well-drained,8,"clay soil, deer, drought",beds and borderspatio and containerssmall gardens,informal and cottagemediterranean garden,1,15,1,15,2,4,60,120.0,0,6
lagerstroemia infinitini orchid crape myrtle,"6
– 12",172,shrubs,70,full sun,0,"2'
– 4'
(60cm
– 120cm)","2'
– 4'
(60cm
– 120cm)",average,4,,well-drained,8,"clay soil, deer, drought",beds and borderspatio and containerssmall gardens,informal and cottagemediterranean garden,1,15,1,15,2,4,60,120.0,0,6
lagerstroemia infinitini purple crape myrtle,"6
– 9",171,shrubs,70,full sun,3,"3'
– 5'
(90cm
– 150cm)","3'
– 5'
(90cm
– 150cm)",average,4,,well-drained,8,"clay soil, deer, drought",beds and borderspatio and containerssmall gardens,informal and cottagemediterranean garden,0,0,0,0,3,5,90,150.0,0,0
lagerstroemia infinitini watermelon crape myrtle,"6
– 10",175,shrubs,70,full sun,0,"2'
– 4'
(60cm
– 120cm)","2'
– 4'
(60cm
– 120cm)",average,4,,well-drained,8,"clay soil, deer, drought",beds and borderspatio and containerssmall gardens,informal and cottagemediterranean garden,1,15,1,15,2,4,60,120.0,0,3
lagerstroemia midnight magic crape myrtle,"7
– 9",171,shrubs,70,full sun,0,"4'
– 6'
(120cm
– 180cm)","4'
– 6'
(120cm
– 180cm)",average,4,,well-drained,8,"clay soil, deer, drought",beds and bordershedges and screenssmall gardens,informal and cottagemediterranean garden,2,2,2,2,4,6,120,180.0,8,0
lagerstroemia moonlight magic crape myrtle,"7
– 9",171,"shrubs, trees",70,full sun,0,"8'
– 12'
(240cm
– 3.6m)","4'
– 6'
(120cm
– 180cm)",average,4,,well-drained,8,"clay soil, deer, drought",beds and bordershedges and screenssmall gardens,informal and cottagemediterranean garden,12,5,13,5,4,6,120,180.0,8,0
lagerstroemia raspberry sundae crape myrtle,"7
– 10",171,"shrubs, trees",70,full sun,0,"10'
– 15'
(3m
– 4.5m)","10'
– 15'
(3m
– 4.5m)",average,4,,well-drained,8,"clay soil, deer, drought",beds and bordershedges and screens,informal and cottagemediterranean garden,5,8,5,8,10,15,300,450.0,8,3
lagerstroemia red magic crape myrtle,"7
– 9",176,shrubs,70,full sun,13,"6'
– 10'
(180cm
– 3m)","6'
– 10'
(180cm
– 3m)",average,4,,well-drained,8,"clay soil, deer, drought",beds and bordershedges and screens,informal and cottagemediterranean garden,10,12,11,12,6,10,180,300.0,8,0
lagerstroemia rhapsody in pink crape myrtle,"7
– 10",176,"shrubs, trees",70,full sun,0,"10'
– 12'
(3m
– 3.6m)","10'
– 12'
(3m
– 3.6m)",average,4,,well-drained,8,"clay soil, deer, drought",beds and bordershedges and screens,informal and cottagemediterranean garden,5,5,5,5,10,12,300,360.0,8,3
lagerstroemia rikki tikki pink crape myrtle,"6
– 9",175,shrubs,70,full sun,0,"3'
– 5'
(90cm
– 150cm)","3'
– 5'
(90cm
– 150cm)",average,4,,well-drained,8,"clay soil, deer, drought",beds and bordershedges and screenspatio and containerssmall gardens,informal and cottagemediterranean garden,0,0,0,0,3,5,90,150.0,0,0
lagerstroemia rikki tikki rouge crape myrtle,"6
– 9",172,shrubs,70,full sun,0,"3'
– 5'
(90cm
– 150cm)","3'
– 5'
(90cm
– 150cm)",average,4,,well-drained,8,"clay soil, deer, drought",beds and bordershedges and screenspatio and containerssmall gardens,informal and cottagemediterranean garden,0,0,0,0,3,5,90,150.0,0,0
lagerstroemia ruffled red magic crape myrtle,"7
– 9",171,"shrubs,  trees",70,full sun,0,"9'
– 12'
(270cm
– 3.6m)","7'
– 9'
(210cm
– 270cm)",average,4,,well-drained,8,"clay soil, deer, drought",beds and bordershedges and screens,informal and cottagemediterranean garden,14,5,20,5,7,9,210,270.0,8,0
lagerstroemia strawberry dazzle crape myrtle,"6
– 9",171,shrubs,70,full sun,3,"4'
 – 5'
(120cm
– 150cm)","4'
– 5'
(120cm
– 150cm)",average,4,,well-drained,8,"clay soil, deer, drought",beds and borderspatio and containerssmall gardens,informal and cottagemediterranean garden,2,0,2,0,4,5,120,150.0,0,0
lagerstroemia sunset magic crape myrtle,"7
– 9",171,shrubs,70,full sun,0,"6'
– 8'
(180cm
– 240cm)","5'
– 6'
(150cm
– 180cm)",average,4,,well-drained,8,"clay soil, deer, drought",beds and bordershedges and screenssmall gardens,informal and cottagemediterranean garden,10,13,11,13,5,6,150,180.0,8,0
lagerstroemia twilight magic crape myrtle,"7
– 9",171,"shrubs, trees",70,full sun,0,"12'
– 14'
(3.6m
– 4.3m)","6'
– 8'
(180cm
– 240cm)",average,4,,well-drained,8,"clay soil, deer, drought",beds and bordershedges and screens,informal and cottagemediterranean garden,6,18,7,22,6,8,180,240.0,8,0
lantana camara bigleaf lantana,"10
– 11",177,"perennials, shrubs",71,full sun,1,"2'
– 6'
(60cm
– 180cm)","3'
– 10'
(90cm
– 3m)",average,4,,moist but well-drained,1,"deer, drought, rabbit, salt",banks and slopesbeds and bordersground coverspatio and containerswall-side borders,coastal gardeninformal and cottagemediterranean gardenprairie and meadow,1,2,1,2,3,10,90,300.0,4,4
lantana camara landmark citrus bigleaf lantana,"10
– 11",177,"perennials, shrubs",71,full sun,1,"1'
– 2'
(30cm
– 60cm)","1'
– 2'
(30cm
– 60cm)","low, average",4,,moist but well-drained,1,"deer, drought, rabbit, salt",banks and slopesbeds and borderspatio and containerswall-side borders,coastal gardeninformal and cottagemediterranean gardenprairie and meadow,3,3,3,3,1,2,30,60.0,4,4
lantana camara landmark peach sunrise bigleaf lantana,"10
– 11",177,"perennials, shrubs",71,full sun,1,"1'
– 2'
(30cm
– 60cm)","1'
– 2'
(30cm
– 60cm)","low, average",4,,moist but well-drained,1,"deer, drought, rabbit, salt",banks and slopesbeds and borderspatio and containerswall-side borders,coastal gardeninformal and cottagemediterranean gardenprairie and meadow,3,3,3,3,1,2,30,60.0,4,4
lantana little lucky peach glow bigleaf lantana,"10
– 11",177,"perennials, shrubs",71,full sun,1,"10""
– 1'
(25cm
– 30cm)","10""
– 1'
(25cm
– 30cm)","low, average",4,,moist but well-drained,1,"deer, drought, rabbit, salt",beds and borderspatio and containerssmall gardenswall-side borders,coastal gardeninformal and cottagemediterranean garden,5,6,6,6,10,1,25,30.0,4,4
lantana little lucky red bigleaf lantana,"10
– 11",177,"perennials, shrubs",71,full sun,1,"10""
– 1'
(25cm
– 30cm)","10""
– 1'
(25cm
– 30cm)","low, average",4,,moist but well-drained,1,"deer, drought, rabbit, salt",beds and borderspatio and containerssmall gardenswall-side borders,coastal gardeninformal and cottagemediterranean garden,5,6,6,6,10,1,25,30.0,4,4
lantana lucky lavender bigleaf lantana,"10
– 11",177,"perennials, shrubs",71,full sun,1,"1'
– 2'
(30cm
– 60cm)","1'
– 2'
(30cm
– 60cm)","low, average",4,,moist but well-drained,1,"deer, drought, rabbit, salt",beds and borderspatio and containerssmall gardenswall-side borders,coastal gardeninformal and cottagemediterranean garden,3,3,3,3,1,2,30,60.0,4,4
lantana lucky lemon glow bigleaf lantana,"10
– 11",177,"perennials, shrubs",71,full sun,1,"1'
– 2'
(30cm
– 60cm)","1'
– 2'
(30cm
– 60cm)","low, average",4,,moist but well-drained,1,"deer, drought, rabbit, salt",beds and borderspatio and containerssmall gardenswall-side borders,coastal gardeninformal and cottagemediterranean garden,3,3,3,3,1,2,30,60.0,4,4
lantana lucky white bigleaf lantana,"10
– 11",177,"perennials, shrubs",71,full sun,1,"1'
– 2'
(30cm
 – 60cm)","1'
– 2'
(30cm
– 60cm)","low, average",4,,moist but well-drained,1,"deer, drought, rabbit, salt",beds and borderspatio and containerssmall gardenswall-side borders,coastal gardeninformal and cottagemediterranean garden,3,3,3,3,1,2,30,60.0,4,4
lantana montevidensis trailing lantana,"8
– 10",177,"perennials, shrubs",71,"full sun, partial sun",2,"1'
– 2'
(30cm
– 60cm)","3'
– 5'
(90cm
– 150cm)","low, average",4,,well-drained,1,"deer, drought, salt",banks and slopesbeds and bordersground covershanging basketspatio and containerswalls and fences,coastal gardeninformal and cottagemediterranean garden,3,3,3,3,3,5,90,150.0,3,3
lavandula angustifolia bettys blue lavender,"5
– 9",30,"herbs, shrubs",72,full sun,0,"2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",low,0,,well-drained,40,"deer, drought, rabbit, dry soil, rocky soil",beds and bordersedginghedges and screenspatio and containers,city and courtyardcoastal gardengravel and rock gardeninformal and cottagemediterranean garden,1,1,1,1,2,3,60,90.0,2,0
lavandula angustifolia folgate lavender,"5
– 9",30,"herbs, shrubs",72,full sun,5,"2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",low,0,,well-drained,49,"deer, drought, rabbit, dry soil, rocky soil",banks and slopesbeds and bordersedginghedges and screenspatio and containers,city and courtyardcoastal gardengravel and rock gardeninformal and cottagemediterranean garden,1,1,1,1,2,3,60,90.0,2,0
lavandula angustifolia hidcote lavender,"5
– 9",30,"herbs, shrubs",72,full sun,1,"1'
– 2'
(30cm
– 60cm)","1'
– 2'
(30cm
– 60cm)",low,0,,well-drained,49,"deer, drought, rabbit, dry soil, rocky soil",banks and slopesbeds and bordersedginghedges and screenspatio and containers,city and courtyardcoastal gardengravel and rock gardeninformal and cottagemediterranean garden,3,3,3,3,1,2,30,60.0,2,0
lavandula angustifolia lavenite petite lavender,"5
– 9",30,"herbs, shrubs",72,full sun,5,"1'
– 2'
(30cm
– 60cm)","1'
– 2'
 (30cm
– 60cm)",low,0,,well-drained,40,"deer, drought, rabbit, dry soil, rocky soil",banks and slopesbeds and bordersedgingpatio and containers,city and courtyardgravel and rock gardeninformal and cottagemediterranean garden,3,3,3,3,1,2,30,60.0,2,0
