,Name,Hardiness,Climate Zones,Plant Type,Plant Family,Exposure,Season of Interest,Height,Spread,Water Needs,Soil Type,Soil pH,Soil Drainage,Characteristics,Tolerance,Garden Uses,Garden Styles
928,Ilex aquifolium 'Ferox Argentea' (English Holly),"6
– 10","4, 5, 6, 7, 8, 9, 14, 15, 16, 17, H1",Shrubs,Ilex - Hollies,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","15'
– 25'
(4.5m
 – 7.5m)","8'
– 10'
(240cm
– 3m)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Cut Flowers, Plant of Merit, Showy, Evergreen, Fruit & Berries","Deer, Drought, Rabbit, Salt","Beds and Borders,Hedges and Screens","City and Courtyard,Coastal Garden,Informal and Cottage"
929,Ilex cornuta 'Needlepoint' (Chinese Holly),"7
– 9","3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","Shrubs, Trees",Ilex - Hollies,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","15'
– 20'
(4.5m
– 6m)","10'
– 20'
(3m
– 6m)",Average,"Loam, Sand","Acid, Neutral",Well-Drained,"Showy, Evergreen","Deer, Drought, Salt","Banks and Slopes,Beds and Borders,Hedges and Screens","Coastal Garden,Informal and Cottage"
930,Ilex crenata 'Brass Buckle' (Japanese Holly),"6
– 8","3, 3A, 3B, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Shrubs,Ilex - Hollies,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","1'
– 2'
(30cm
– 60cm)","1'
– 2'
(30cm
– 60cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Showy, Evergreen",Drought,"Beds and Borders,Patio and Containers,Small Gardens,Wall-Side Borders","City and Courtyard,Gravel and Rock Garden,Informal and Cottage"
931,Ilex crenata 'Sky Pencil' (Japanese Holly),"6
– 8","3, 3A, 3B, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","Shrubs, Trees",Ilex - Hollies,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","6'
– 10'
(180cm
– 3m)","1'
– 3'
(30cm
– 90cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Showy, Evergreen","Deer, Drought","Beds and Borders,Hedges and Screens,Patio and Containers,Small Gardens,Wall-Side Borders","City and Courtyard,Informal and Cottage"
932,Ilex crenata 'Sky Pointer' (Japanese Holly),"6
– 8","3, 3A, 3B, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Shrubs,Ilex - Hollies,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","4'
– 5'
(120cm
– 150cm)","3'
– 4'
(90cm
– 120cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Showy, Evergreen",Drought,"Beds and Borders,Hedges and Screens,Patio and Containers,Wall-Side Borders","City and Courtyard,Formal Garden,Informal and Cottage"
933,Ilex crenata (Japanese Holly),"5
– 7","3, 3A, 3B, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","Shrubs, Trees",Ilex - Hollies,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","4'
– 10'
(120cm
– 3m)","4'
– 10'
(120cm
– 3m)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Showy, Evergreen, Fruit & Berries","Deer, Drought","Edging,Hedges and Screens","City and Courtyard,Informal and Cottage"
934,Ilex crenata Patti O Box® (Japanese Holly),"6
– 8","3, 3A, 3B, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Shrubs,Ilex - Hollies,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","3'
– 4'
(90cm
– 120cm)","1'
– 2'
(30cm
– 60cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Showy, Evergreen",Drought,"Beds and Borders,Patio and Containers,Small Gardens,Wall-Side Borders","City and Courtyard,Informal and Cottage"
935,Ilex decidua (Possumhaw),"5
– 9",,Shrubs,Ilex - Hollies,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","7'
– 15'
(210cm
– 4.5m)","5'
– 12'
(150cm
– 3.6m)","Average, High","Chalk, Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained","Cut Flowers, Showy, Fruit & Berries",Clay Soil,"Beds and Borders,Hedges and Screens,Ponds and Streams,Rain Gardens",Informal and Cottage
936,Ilex glabra 'Shamrock' (Inkberry),"4
– 9","2, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Shrubs,Ilex - Hollies,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","3'
– 4'
(90cm
– 120cm)","3'
– 4'
(90cm
– 120cm)","Average, High","Clay, Loam","Acid, Neutral","Moist but Well-Drained, Poorly Drained","Showy, Evergreen","Clay Soil, Deer, Rabbit, Wet Soil","Banks and Slopes,Beds and Borders,Bog Gardens,Hedges and Screens,Ponds and Streams,Rain Gardens,Small Gardens",Informal and Cottage
937,Ilex glabra Gem Box® (Inkberry),"5
– 9","2, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Shrubs,Ilex - Hollies,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)","Average, High","Clay, Loam","Acid, Neutral","Moist but Well-Drained, Poorly Drained","Showy, Evergreen","Clay Soil, Deer, Rabbit, Wet Soil","Banks and Slopes,Beds and Borders,Bog Gardens,Edging,Hedges and Screens,Patio and Containers,Ponds and Streams,Rain Gardens,Small Gardens",Informal and Cottage
938,Ilex glabra Strongbox® (Inkberry),"5
– 9","2, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Shrubs,Ilex - Hollies,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",Average,"Clay, Loam","Acid, Neutral","Moist but Well-Drained, Poorly Drained","Showy, Evergreen","Clay Soil, Deer, Rabbit, Wet Soil","Banks and Slopes,Beds and Borders,Bog Gardens,Edging,Hedges and Screens,Patio and Containers,Ponds and Streams,Rain Gardens,Small Gardens",Informal and Cottage
939,Ilex Golden Oakland® (Holly),"6
– 9",,Shrubs,Ilex - Hollies,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","15'
– 20'
(4.5m
– 6m)","12'
– 15'
(3.6m
– 4.5m)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Showy, Evergreen",,"Hedges and Screens,Patio and Containers","Formal Garden,Informal and Cottage"
940,Ilex verticillata 'Jim Dandy' (Winterberry),"3
– 9","1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, A2, A3",Shrubs,Ilex - Hollies,"Full Sun, Partial Sun",Spring (Late),"3'
– 6'
(90cm
– 180cm)","4'
– 8'
(120cm
– 240cm)","Average, High","Clay, Loam","Acid, Neutral","Moist but Well-Drained, Poorly Drained",Showy,"Clay Soil, Wet Soil","Banks and Slopes,Beds and Borders,Bog Gardens,Hedges and Screens,Ponds and Streams,Rain Gardens",Informal and Cottage
941,Ilex verticillata 'Red Sprite' (Winterberry),"3
– 9","1, 1A, 1B, 2, 2A, 3, 3A, 3B, 4, 5, 6, 7, A2, A3",Shrubs,Ilex - Hollies,"Full Sun, Partial Sun","Spring (Early,Late)","3'
– 5'
(90cm
– 150cm)","3'
– 5'
(90cm
– 150cm)","Average, High","Clay, Loam","Acid, Neutral","Moist but Well-Drained, Poorly Drained","Cut Flowers, Plant of Merit, Showy, Fruit & Berries","Clay Soil, Wet Soil","Banks and Slopes,Beds and Borders,Bog Gardens,Hedges and Screens,Ponds and Streams,Rain Gardens,Small Gardens",Informal and Cottage
942,Ilex verticillata 'Wildfire' (Winterberry),"3
– 9","1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, A2, A3",Shrubs,Ilex - Hollies,"Full Sun, Partial Sun","Spring (Early,Late)","6'
– 7'
(180cm
– 210cm)","7'
– 8'
(210cm
– 240cm)","Average, High","Clay, Loam","Acid, Neutral","Moist but Well-Drained, Poorly Drained","Cut Flowers, Showy, Fruit & Berries","Clay Soil, Wet Soil","Banks and Slopes,Beds and Borders,Bog Gardens,Hedges and Screens,Ponds and Streams,Rain Gardens",Informal and Cottage
943,Ilex verticillata 'Winter Gold' (Winterberry),"3
– 9","1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, A2, A3",Shrubs,Ilex - Hollies,"Full Sun, Partial Sun","Spring (Early,Late)","5'
– 8'
(150cm
– 240cm)","5'
– 8'
(150cm
– 240cm)","Average, High","Clay, Loam","Acid, Neutral","Moist but Well-Drained, Poorly Drained","Cut Flowers, Plant of Merit, Showy","Clay Soil, Wet Soil","Banks and Slopes,Beds and Borders,Bog Gardens,Hedges and Screens,Ponds and Streams,Rain Gardens",Informal and Cottage
944,Ilex verticillata 'Winter Red' (Winterberry),"3
– 9","1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, A2, A3",Shrubs,Ilex - Hollies,"Full Sun, Partial Sun","Spring (Early,Late)","6'
– 8'
(180cm
– 240cm)","6'
– 8'
(180cm
– 240cm)","Average, High","Clay, Loam","Acid, Neutral","Moist but Well-Drained, Poorly Drained","Cut Flowers, Plant of Merit, Showy, Fruit & Berries","Clay Soil, Wet Soil","Banks and Slopes,Beds and Borders,Bog Gardens,Hedges and Screens,Ponds and Streams,Rain Gardens",Informal and Cottage
945,Ilex verticillata (Winterberry),"3
– 9","1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, A2, A3",Shrubs,Ilex - Hollies,"Full Sun, Partial Sun","Spring (Early,Late)","6'
– 10'
(180cm
– 3m)","6'
– 10'
(180cm
– 3m)","Average, High","Clay, Loam","Acid, Neutral","Moist but Well-Drained, Poorly Drained","Cut Flowers, Showy, Fruit & Berries","Clay Soil, Dry Soil, Wet Soil","Banks and Slopes,Beds and Borders,Bog Gardens,Hedges and Screens,Ponds and Streams,Rain Gardens",Informal and Cottage
946,Ilex verticillata Berry Heavy® (Winterberry),"3
– 9","1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, A2, A3",Shrubs,Ilex - Hollies,"Full Sun, Partial Sun","Spring (Early,Late)","6'
– 8'
(180cm
– 240cm)","6'
– 8'
(180cm
– 240cm)",Average,"Clay, Loam","Acid, Neutral","Moist but Well-Drained, Poorly Drained","Cut Flowers, Showy, Fruit & Berries","Clay Soil, Wet Soil","Banks and Slopes,Beds and Borders,Hedges and Screens,Ponds and Streams",Informal and Cottage
947,Ilex verticillata Berry Heavy® Gold (Winterberry),"3
– 9","1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, A2, A3",Shrubs,Ilex - Hollies,"Full Sun, Partial Sun","Spring (Early,Late)","6'
– 8'
(180cm
– 240cm)","6'
– 8'
(180cm
– 240cm)",Average,"Clay, Loam","Acid, Neutral","Moist but Well-Drained, Poorly Drained","Cut Flowers, Showy","Clay Soil, Wet Soil","Banks and Slopes,Beds and Borders,Hedges and Screens,Ponds and Streams",Informal and Cottage
948,Ilex verticillata Berry Poppins® (Winterberry),"3
– 9","1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, A2, A3",Shrubs,Ilex - Hollies,"Full Sun, Partial Sun","Spring (Early,Late)","3'
– 4'
(90cm
– 120cm)","3'
– 4'
(90cm
– 120cm)","Average, High","Clay, Loam","Acid, Neutral","Moist but Well-Drained, Poorly Drained","Cut Flowers, Showy, Fruit & Berries","Clay Soil, Wet Soil","Banks and Slopes,Beds and Borders,Bog Gardens,Hedges and Screens,Ponds and Streams,Rain Gardens,Small Gardens",Informal and Cottage
949,Ilex verticillata Little Goblin® Guy (Winterberry),"3
– 9","1, 1A, 1B,  2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, A2, A3",Shrubs,Ilex - Hollies,"Full Sun, Partial Sun",Spring (Late),"3'
– 4'
(90cm
– 120cm)","3'
– 4'
(90cm
– 120cm)","Average, High","Clay, Loam","Acid, Neutral","Moist but Well-Drained, Poorly Drained",Showy,"Clay Soil, Wet Soil","Banks and Slopes,Beds and Borders,Bog Gardens,Hedges and Screens,Ponds and Streams,Rain Gardens,Small Gardens",Informal and Cottage
950,Ilex verticillata Little Goblin® Orange (Winterberry),"3
– 9","1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, A2, A3",Shrubs,Ilex - Hollies,"Full Sun, Partial Sun","Spring (Early,Late)","3'
– 4'
(90cm
– 120cm)","3'
– 4'
(90cm
– 120cm)","Average, High","Clay, Loam","Acid, Neutral","Moist but Well-Drained,  Poorly Drained","Cut Flowers, Showy","Clay Soil, Wet Soil","Banks and Slopes,Beds and Borders,Bog Gardens,Hedges and Screens,Ponds and Streams,Rain Gardens,Small Gardens",Informal and Cottage
951,Ilex verticillata Little Goblin® Red (Winterberry),"3
– 9","1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B,  4, 5, 6, 7, A2, A3",Shrubs,Ilex - Hollies,"Full Sun, Partial Sun","Spring (Early,Late)","3'
– 5'
(90cm
– 150cm)","3'
– 5'
(90cm
– 150cm)","Average, High","Clay, Loam","Acid, Neutral","Moist but Well-Drained, Poorly Drained","Cut Flowers, Showy, Fruit & Berries","Clay Soil, Wet Soil","Banks and Slopes,Beds and Borders,Bog Gardens,Hedges and Screens,Ponds and Streams,Rain Gardens,Small Gardens",Informal and Cottage
952,Ilex verticillata Mr. Poppins® (Winterberry),"3
– 9","1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, A2, A3",Shrubs,Ilex - Hollies,"Full Sun, Partial Sun",Spring (Late),"3'
– 4'
(90cm
– 120cm)","3'
– 4'
(90cm
– 120cm)","Average, High","Clay, Loam","Acid, Neutral","Moist but Well-Drained, Poorly Drained",Showy,"Clay Soil, Wet Soil","Banks and Slopes,Beds and Borders,Bog Gardens,Hedges and Screens,Ponds and Streams,Rain Gardens,Small Gardens",Informal and Cottage
953,Ilex vomitoria (Yaupon),"7
– 9","3, 3A, 3B, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, H1, H2","Shrubs, Trees",Ilex - Hollies,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","10'
– 20'
(3m
– 6m)","8'
– 12'
(240cm
– 3.6m)","Low, Average, High","Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Cut Flowers, Showy, Evergreen, Fruit & Berries","Drought, Dry Soil, Salt","Hedges and Screens,Ponds and Streams,Rain Gardens",Coastal Garden
954,Ilex x meserveae 'Blue Princess' (Blue Holly),"4
– 9","3, 3A, 3B, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17",Shrubs,Ilex - Hollies,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","10'
– 15'
(3m
– 4.5m)","8'
– 10'
(240cm
– 3m)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Cut Flowers, Plant of Merit, Showy, Evergreen, Fruit & Berries",,"Beds and Borders,Hedges and Screens","City and Courtyard,Coastal Garden,Informal and Cottage"
955,Ilex x meserveae Castle Spire® (Blue Holly),"5
– 7","3, 3A, 3B, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17",Shrubs,Ilex - Hollies,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","6'
– 10'
(180cm
– 3m)","3'
– 4'
(90cm
– 120cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Cut Flowers, Showy, Evergreen, Fruit & Berries",,"Beds and Borders,Hedges and Screens","City and Courtyard,Coastal Garden,Informal and Cottage"
956,Ilex x meserveae Castle Wall® (Blue Holly),"5
– 7","3, 3A, 3B, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17",Shrubs,Ilex - Hollies,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","5'
– 8'
(150cm
– 240cm)","3'
– 4'
(90cm
– 120cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Cut Flowers, Showy, Evergreen",,"Beds and Borders,Hedges and Screens","City and Courtyard,Coastal Garden,Informal and Cottage"
957,Illicium anisatum (Japanese Anise),"7
– 9","4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","Shrubs, Trees",Illicium - Anise Trees,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","6'
– 15'
(180cm
– 4.5m)","6'
– 8'
(180cm
– 240cm)",Average,"Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Fragrant, Showy, Evergreen",Deer,Wall-Side Borders,"City and Courtyard,Coastal Garden,Informal and Cottage,Mediterranean Garden"
958,Illicium floridanum 'Pink Frost' (Florida Anise),"7
– 9",,Shrubs,Illicium - Anise Trees,"Partial Sun, Shade","Spring (Early,Mid,Late)","6'
– 10'
(180cm
– 3m)","6'
– 10'
(180cm
– 3m)",Average,"Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Moisture Retentive","Fragrant, Showy, Evergreen","Deer, Wet Soil",,"City and Courtyard,Informal and Cottage,Mediterranean Garden"
959,Illicium floridanum (Florida Anise),"7
– 10",,Shrubs,Illicium - Anise Trees,"Partial Sun, Shade","Spring (Early,Mid,Late)","6'
– 10'
(180cm
– 3m)","4'
 – 8'
(120cm
– 240cm)",Average,"Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Moisture Retentive","Fragrant, Showy, Evergreen","Deer, Wet Soil",,"City and Courtyard,Informal and Cottage,Mediterranean Garden"
960,Illicium floridanum Miss Scarlett® (Florida Anise),"7
– 10",,Shrubs,Illicium - Anise Trees,"Partial Sun, Shade","Spring (Early,Mid,Late)","4'
– 6'
(120cm
– 180cm)","3'
– 4'
(90cm
– 120cm)",Average,"Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Moisture Retentive","Fragrant, Showy, Evergreen","Deer, Wet Soil",,"City and Courtyard,Informal and Cottage,Mediterranean Garden"
961,Illicium parviflorum 'Florida Sunshine' (Small Anise),"7
– 9","4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Shrubs,Illicium - Anise Trees,Partial Sun,"Spring (Early,Mid,Late)","4'
– 8'
(120cm
– 240cm)","2'
– 3'
(60cm
– 90cm)",Average,"Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Moisture Retentive","Fragrant, Showy, Evergreen","Deer, Wet Soil",Small Gardens,"City and Courtyard,Informal and Cottage,Mediterranean Garden"
962,Illicium parviflorum BananAppeal® (Small Anise),"7
– 9","4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Shrubs,Illicium - Anise Trees,Partial Sun,"Spring (Early,Mid,Late)","3'
– 4'
(90cm
– 120cm)","3'
– 4'
(90cm
– 120cm)",Average,"Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Moisture Retentive","Fragrant, Showy, Evergreen","Deer, Wet Soil",Small Gardens,"City and Courtyard,Informal and Cottage,Mediterranean Garden"
963,Impatiens sodenii (Poor Man's Rhododendron),"10
– 11","15, 16, 17, 21, 22, 23, 24","Perennials, Shrubs",Impatiens,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","4'
 – 8'
(120cm
– 240cm)","8'
– 10'
(240cm
– 3m)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Plant of Merit, Showy, Evergreen",,"Beds and Borders,Hedges and Screens","Coastal Garden,Informal and Cottage"
964,Itea virginica 'Henry's Garnet' (Virginia Sweetspire),"5
– 9","2, 2B, 3, 4, 5, 6, 15, 16, 17",Shrubs,,"Full Sun, Partial Sun, Shade","Spring (Mid,Late)","3'
– 4'
(90cm
– 120cm)","4'
– 6'
(120cm
– 180cm)",Average,"Clay, Loam",Acid,Moist but Well-Drained,"Fragrant, Plant of Merit, Showy, Semi-Evergreen","Clay Soil, Wet Soil","Beds and Borders,Ground Covers,Hedges and Screens,Ponds and Streams,Rain Gardens,Wall-Side Borders",
965,Itea virginica (Virginia Sweetspire),"5
– 10","2, 2B, 3, 4, 5, 6, 15, 16, 17",Shrubs,,"Full Sun, Partial Sun, Shade","Spring (Mid,Late)","3'
– 10'
(90cm
– 3m)","3'
– 10'
(90cm
– 3m)",Average,"Clay, Loam",Acid,Moist but Well-Drained,"Fragrant, Showy, Semi-Evergreen","Clay Soil, Wet Soil","Beds and Borders,Ground Covers,Hedges and Screens,Ponds and Streams,Rain Gardens,Wall-Side Borders",
966,Itea virginica Little Henry® (Virginia Sweetspire),"5
– 9","2, 2B, 3, 4, 5, 6, 15, 16, 17",Shrubs,,"Full Sun, Partial Sun, Shade",Spring (Late),"2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",Average,"Clay, Loam",Acid,Moist but Well-Drained,"Fragrant, Showy","Clay Soil, Wet Soil","Beds and Borders,Ground Covers,Hedges and Screens,Ponds and Streams,Rain Gardens,Wall-Side Borders",
967,Jacobaea maritima (Dusty Miller),"8
– 11","4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, H1, H2","Perennials, Shrubs",Senecio,"Full Sun, Partial Sun",Spring (Late),"6""
– 2'
(15cm
– 60cm)","6""
– 1'
(15cm
– 30cm)","Low, Average","Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Cut Flowers, Showy","Deer, Drought","Beds and Borders,Edging,Patio and Containers","City and Courtyard,Coastal Garden,Informal and Cottage"
968,Jasminum mesnyi (Primrose Jasmine),"8
– 10","4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21,  22, 23, 24, H1, H2","Climbers, Shrubs",Jasminum - Jasmine,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","6'
– 10'
(180cm
– 3m)","3'
– 5'
(90cm
– 150cm)",Average,"Chalk, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Plant of Merit, Showy, Evergreen",,"Arbors, Pergolas, Trellises,Patio and Containers,Walls and Fences",
969,Jasminum nudiflorum (Winter Jasmine),"6
– 9","2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21","Climbers, Shrubs",Jasminum - Jasmine,"Full Sun, Partial Sun",Spring (Early),"4'
– 15'
(120cm
– 4.5m)","3'
– 6'
(90cm
– 180cm)","Low, Average","Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Plant of Merit, Showy",,"Arbors, Pergolas, Trellises,Banks and Slopes,Ground Covers,Wall-Side Borders,Walls and Fences",Coastal Garden
970,Jasminum officinale (Common Jasmine),"7
– 10","5, 6, 7, 8, 9, 12,  13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","Climbers, Shrubs",Jasminum - Jasmine,"Full Sun, Partial Sun",Spring (Late),"15'
– 30'
(4.5m
– 9m)","7'
– 15'
(210cm
– 4.5m)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Fragrant, Showy",Deer,"Arbors, Pergolas, Trellises,Ground Covers,Wall-Side Borders,Walls and Fences",Coastal Garden
971,Jasminum polyanthum (Pink Jasmine),"9
– 10","5, 6, 7, 8, 9, 12, 13, 14, 15,  16, 17, 18, 19, 20, 21, 22, 23, 24, H1","Climbers, Shrubs",Jasminum - Jasmine,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","8'
– 20'
(240cm
– 6m)","3'
– 5'
(90cm
– 150cm)","Low, Average","Chalk, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Fragrant, Plant of Merit, Showy, Evergreen, Semi-Evergreen",,"Arbors, Pergolas, Trellises,Ground Covers,Patio and Containers,Wall-Side Borders,Walls and Fences",City and Courtyard
972,Jasminum sambac 'Grand Duke of Tuscany' (Arabian Jasmine),"9
– 12","13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, H1, H2","Climbers, Shrubs",Jasminum - Jasmine,"Full Sun,  Partial Sun","Summer (Early,Mid,Late)","1'
– 3'
(30cm
– 90cm)","1'
– 3'
(30cm
– 90cm)",Average,Loam,Neutral,Moist but Well-Drained,"Fragrant, Showy, Evergreen",,"Arbors, Pergolas, Trellises,Hedges and Screens,Patio and Containers",
973,Jasminum sambac (Arabian Jasmine),"9
– 11","13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, H1, H2","Climbers, Shrubs",Jasminum - Jasmine,"Full Sun, Partial Sun","Summer (Early,Mid,Late)","6'
– 10'
(180cm
– 3m)","6'
– 10'
(180cm
– 3m)",Average,Loam,Neutral,Moist but Well-Drained,"Fragrant, Plant of Merit, Showy, Evergreen",,Patio and Containers,
974,Juniperus × pfitzeriana 'Hetzii' (Chinese Juniper),"3
– 9","1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","Conifers, Shrubs",Juniperus - Junipers,Full Sun,"Spring (Early,Mid,Late)","4'
– 15'
(120cm
– 4.5m)","6'
– 15'
(180cm
– 4.5m)","Low, Average","Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Showy, Evergreen","Deer, Drought, Dry Soil, Rocky Soil","Beds and Borders,Hedges and Screens","Informal and Cottage,Japanese Garden,Traditional Garden"
975,Juniperus × pfitzeriana 'Old Gold' (Chinese Juniper),"4
– 9","1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","Conifers, Shrubs",Juniperus - Junipers,Full Sun,"Spring (Early,Mid,Late)","2'
– 3'
(60cm
– 90cm)","4'
– 5'
(120cm
– 150cm)","Low, Average","Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Plant of Merit, Showy, Evergreen","Deer, Drought, Dry Soil, Rocky Soil","Beds and Borders,Ground Covers,Hedges and Screens","Coastal Garden,Gravel and Rock Garden,Informal and Cottage,Japanese Garden,Traditional Garden"
