Unnamed: 0,Name,Hardiness,Climate Zones,Plant Type,Plant Family,Exposure,Season of Interest,Height,Spread,Water Needs,Soil Type,Soil pH,Soil Drainage,Characteristics,Tolerance,Garden Uses,Garden Styles,Min-Height(feet),Max-Height(feet),Min-Height(cm),Max-Height(cm),Min-Spread(feet),Max-Spread(feet),Min-Spread(cm),Max-Spread(cm),Hardiness(Min),Hardiness(Max)
1033,lagerstroemia infinitini brite pink crape myrtle,"6
– 12","7, 8, 9, 10, 12, 13, 14, 15, 18, 19, 20, 21, h1, h2",shrubs,lagerstroemia - crape myrtles,full sun,"summer (early,mid,late)","2'
– 4'
(60cm
– 120cm)","2'
– 4'
(60cm
– 120cm)",average,"chalk, clay, loam, sand",,well-drained,showy,"clay soil, deer, drought",beds and borderspatio and containerssmall gardens,informal and cottagemediterranean garden,2,4,60,120,2,4,60,120,6,12
1034,lagerstroemia infinitini magenta crape myrtle,"6
– 12","7, 8, 9, 10, 12, 13, 14, 15, 18, 19, 20, 21, h1, h2",shrubs,lagerstroemia - crape myrtles,full sun,"summer (early,mid,late)","2'
– 4'
(60cm
– 120cm)","2'
– 4'
(60cm
– 120cm)",average,"chalk, clay, loam, sand",,well-drained,showy,"clay soil, deer, drought",beds and borderspatio and containerssmall gardens,informal and cottagemediterranean garden,2,4,60,120,2,4,60,120,6,12
1035,lagerstroemia infinitini orchid crape myrtle,"6
– 12","7, 8, 9, 10, 12, 13, 14, 15, 18, 19,  20, 21, h1, h2",shrubs,lagerstroemia - crape myrtles,full sun,"summer (mid,late)","2'
– 4'
(60cm
– 120cm)","2'
– 4'
(60cm
– 120cm)",average,"chalk, clay, loam, sand",,well-drained,showy,"clay soil, deer, drought",beds and borderspatio and containerssmall gardens,informal and cottagemediterranean garden,2,4,60,120,2,4,60,120,6,12
1036,lagerstroemia infinitini purple crape myrtle,"6
– 9","7, 8, 9, 10, 12, 13, 14, 15, 18, 19, 20, 21, h1, h2",shrubs,lagerstroemia - crape myrtles,full sun,"summer (early,mid,late)","3'
– 5'
(90cm
– 150cm)","3'
– 5'
(90cm
– 150cm)",average,"chalk, clay, loam, sand",,well-drained,showy,"clay soil, deer, drought",beds and borderspatio and containerssmall gardens,informal and cottagemediterranean garden,3,5,90,150,3,5,90,150,6,9
1037,lagerstroemia infinitini watermelon crape myrtle,"6
– 10","7, 8, 9, 10, 12, 13, 14,  15, 18, 19, 20, 21, h1, h2",shrubs,lagerstroemia - crape myrtles,full sun,"summer (mid,late)","2'
– 4'
(60cm
– 120cm)","2'
– 4'
(60cm
– 120cm)",average,"chalk, clay, loam, sand",,well-drained,showy,"clay soil, deer, drought",beds and borderspatio and containerssmall gardens,informal and cottagemediterranean garden,2,4,60,120,2,4,60,120,6,10
1038,lagerstroemia midnight magic crape myrtle,"7
– 9","7, 8, 9, 10, 12, 13, 14, 15, 18, 19, 20, 21, h1, h2",shrubs,lagerstroemia - crape myrtles,full sun,"summer (mid,late)","4'
– 6'
(120cm
– 180cm)","4'
– 6'
(120cm
– 180cm)",average,"chalk, clay, loam, sand",,well-drained,showy,"clay soil, deer, drought",beds and bordershedges and screenssmall gardens,informal and cottagemediterranean garden,4,6,120,180,4,6,120,180,7,9
1039,lagerstroemia moonlight magic crape myrtle,"7
– 9","7, 8, 9, 10, 12, 13, 14, 15, 18, 19, 20, 21, h1, h2","shrubs, trees",lagerstroemia - crape myrtles,full sun,"summer (mid,late)","8'
– 12'
(240cm
– 3.6m)","4'
– 6'
(120cm
– 180cm)",average,"chalk, clay, loam, sand",,well-drained,showy,"clay soil, deer, drought",beds and bordershedges and screenssmall gardens,informal and cottagemediterranean garden,8,12,240,360,4,6,120,180,7,9
1040,lagerstroemia raspberry sundae crape myrtle,"7
– 10","7, 8, 9, 10, 12, 13, 14, 15, 18, 19, 20, 21, h1, h2","shrubs, trees",lagerstroemia - crape myrtles,full sun,"summer (mid,late)","10'
– 15'
(3m
– 4.5m)","10'
– 15'
(3m
– 4.5m)",average,"chalk, clay, loam, sand",,well-drained,showy,"clay soil, deer, drought",beds and bordershedges and screens,informal and cottagemediterranean garden,10,15,300,450,10,15,300,450,7,10
1041,lagerstroemia red magic crape myrtle,"7
– 9","7, 8, 9, 10, 12, 13, 14, 15, 18, 19, 20, 21, h1,  h2",shrubs,lagerstroemia - crape myrtles,full sun,"summer (early,late)","6'
– 10'
(180cm
– 3m)","6'
– 10'
(180cm
– 3m)",average,"chalk, clay, loam, sand",,well-drained,showy,"clay soil, deer, drought",beds and bordershedges and screens,informal and cottagemediterranean garden,6,10,180,300,6,10,180,300,7,9
1042,lagerstroemia rhapsody in pink crape myrtle,"7
– 10","7, 8, 9, 10, 12, 13, 14, 15, 18, 19, 20, 21, h1,  h2","shrubs, trees",lagerstroemia - crape myrtles,full sun,"summer (mid,late)","10'
– 12'
(3m
– 3.6m)","10'
– 12'
(3m
– 3.6m)",average,"chalk, clay, loam, sand",,well-drained,showy,"clay soil, deer, drought",beds and bordershedges and screens,informal and cottagemediterranean garden,10,12,300,360,10,12,300,360,7,10
1043,lagerstroemia rikki tikki pink crape myrtle,"6
– 9","7, 8, 9, 10, 12, 13, 14,  15, 18, 19, 20, 21, h1, h2",shrubs,lagerstroemia - crape myrtles,full sun,"summer (mid,late)","3'
– 5'
(90cm
– 150cm)","3'
– 5'
(90cm
– 150cm)",average,"chalk, clay, loam, sand",,well-drained,showy,"clay soil, deer, drought",beds and bordershedges and screenspatio and containerssmall gardens,informal and cottagemediterranean garden,3,5,90,150,3,5,90,150,6,9
1044,lagerstroemia rikki tikki rouge crape myrtle,"6
– 9","7, 8, 9, 10, 12, 13, 14, 15, 18, 19,  20, 21, h1, h2",shrubs,lagerstroemia - crape myrtles,full sun,"summer (mid,late)","3'
– 5'
(90cm
– 150cm)","3'
– 5'
(90cm
– 150cm)",average,"chalk, clay, loam, sand",,well-drained,showy,"clay soil, deer, drought",beds and bordershedges and screenspatio and containerssmall gardens,informal and cottagemediterranean garden,3,5,90,150,3,5,90,150,6,9
1045,lagerstroemia ruffled red magic crape myrtle,"7
– 9","7, 8, 9, 10, 12, 13, 14, 15, 18, 19, 20, 21, h1, h2","shrubs,  trees",lagerstroemia - crape myrtles,full sun,"summer (mid,late)","9'
– 12'
(270cm
– 3.6m)","7'
– 9'
(210cm
– 270cm)",average,"chalk, clay, loam, sand",,well-drained,showy,"clay soil, deer, drought",beds and bordershedges and screens,informal and cottagemediterranean garden,9,12,270,360,7,9,210,270,7,9
1046,lagerstroemia strawberry dazzle crape myrtle,"6
– 9","7, 8, 9, 10, 12, 13, 14, 15, 18, 19, 20, 21, h1, h2",shrubs,lagerstroemia - crape myrtles,full sun,"summer (early,mid,late)","4'
 – 5'
(120cm
– 150cm)","4'
– 5'
(120cm
– 150cm)",average,"chalk, clay, loam, sand",,well-drained,showy,"clay soil, deer, drought",beds and borderspatio and containerssmall gardens,informal and cottagemediterranean garden,4,5,120,150,4,5,120,150,6,9
1047,lagerstroemia sunset magic crape myrtle,"7
– 9","7, 8, 9, 10, 12, 13, 14, 15, 18, 19, 20, 21, h1, h2",shrubs,lagerstroemia - crape myrtles,full sun,"summer (mid,late)","6'
– 8'
(180cm
– 240cm)","5'
– 6'
(150cm
– 180cm)",average,"chalk, clay, loam, sand",,well-drained,showy,"clay soil, deer, drought",beds and bordershedges and screenssmall gardens,informal and cottagemediterranean garden,6,8,180,240,5,6,150,180,7,9
1048,lagerstroemia twilight magic crape myrtle,"7
– 9","7, 8, 9, 10, 12, 13, 14, 15, 18, 19, 20, 21, h1, h2","shrubs, trees",lagerstroemia - crape myrtles,full sun,"summer (mid,late)","12'
– 14'
(3.6m
– 4.3m)","6'
– 8'
(180cm
– 240cm)",average,"chalk, clay, loam, sand",,well-drained,showy,"clay soil, deer, drought",beds and bordershedges and screens,informal and cottagemediterranean garden,12,14,360,430,6,8,180,240,7,9
1050,lantana camara bigleaf lantana,"10
– 11","8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, h1, h2","perennials, shrubs",lantana,full sun,spring (late),"2'
– 6'
(60cm
– 180cm)","3'
– 10'
(90cm
– 3m)",average,"chalk, clay, loam, sand",,moist but well-drained,"showy, evergreen","deer, drought, rabbit, salt",banks and slopesbeds and bordersground coverspatio and containerswall-side borders,coastal gardeninformal and cottagemediterranean gardenprairie and meadow,2,6,60,180,3,10,90,300,10,11
1051,lantana camara landmark citrus bigleaf lantana,"10
– 11","8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, h1, h2","perennials, shrubs",lantana,full sun,spring (late),"1'
– 2'
(30cm
– 60cm)","1'
– 2'
(30cm
– 60cm)","low, average","chalk, clay, loam, sand",,moist but well-drained,"showy, evergreen","deer, drought, rabbit, salt",banks and slopesbeds and borderspatio and containerswall-side borders,coastal gardeninformal and cottagemediterranean gardenprairie and meadow,1,2,30,60,1,2,30,60,10,11
1052,lantana camara landmark peach sunrise bigleaf lantana,"10
– 11","8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, h1, h2","perennials, shrubs",lantana,full sun,spring (late),"1'
– 2'
(30cm
– 60cm)","1'
– 2'
(30cm
– 60cm)","low, average","chalk, clay, loam, sand",,moist but well-drained,"showy, evergreen","deer, drought, rabbit, salt",banks and slopesbeds and borderspatio and containerswall-side borders,coastal gardeninformal and cottagemediterranean gardenprairie and meadow,1,2,30,60,1,2,30,60,10,11
1054,lantana little lucky peach glow bigleaf lantana,"10
– 11","8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, h1, h2","perennials, shrubs",lantana,full sun,spring (late),"10""
– 1'
(25cm
– 30cm)","10""
– 1'
(25cm
– 30cm)","low, average","chalk, clay, loam, sand",,moist but well-drained,"showy, evergreen","deer, drought, rabbit, salt",beds and borderspatio and containerssmall gardenswall-side borders,coastal gardeninformal and cottagemediterranean garden,10,1,25,30,10,1,25,30,10,11
1055,lantana little lucky red bigleaf lantana,"10
– 11","8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, h1, h2","perennials, shrubs",lantana,full sun,spring (late),"10""
– 1'
(25cm
– 30cm)","10""
– 1'
(25cm
– 30cm)","low, average","chalk, clay, loam, sand",,moist but well-drained,"showy, evergreen","deer, drought, rabbit, salt",beds and borderspatio and containerssmall gardenswall-side borders,coastal gardeninformal and cottagemediterranean garden,10,1,25,30,10,1,25,30,10,11
1056,lantana lucky lavender bigleaf lantana,"10
– 11","8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, h1, h2","perennials, shrubs",lantana,full sun,spring (late),"1'
– 2'
(30cm
– 60cm)","1'
– 2'
(30cm
– 60cm)","low, average","chalk, clay, loam, sand",,moist but well-drained,"showy, evergreen","deer, drought, rabbit, salt",beds and borderspatio and containerssmall gardenswall-side borders,coastal gardeninformal and cottagemediterranean garden,1,2,30,60,1,2,30,60,10,11
1057,lantana lucky lemon glow bigleaf lantana,"10
– 11","8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, h1, h2","perennials, shrubs",lantana,full sun,spring (late),"1'
– 2'
(30cm
– 60cm)","1'
– 2'
(30cm
– 60cm)","low, average","chalk, clay, loam, sand",,moist but well-drained,"showy, evergreen","deer, drought, rabbit, salt",beds and borderspatio and containerssmall gardenswall-side borders,coastal gardeninformal and cottagemediterranean garden,1,2,30,60,1,2,30,60,10,11
1058,lantana lucky white bigleaf lantana,"10
– 11","8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, h1, h2","perennials, shrubs",lantana,full sun,spring (late),"1'
– 2'
(30cm
 – 60cm)","1'
– 2'
(30cm
– 60cm)","low, average","chalk, clay, loam, sand",,moist but well-drained,"showy, evergreen","deer, drought, rabbit, salt",beds and borderspatio and containerssmall gardenswall-side borders,coastal gardeninformal and cottagemediterranean garden,1,2,30,60,1,2,30,60,10,11
1059,lantana montevidensis trailing lantana,"8
– 10","8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, h1, h2","perennials, shrubs",lantana,"full sun, partial sun","spring (early,mid,late)","1'
– 2'
(30cm
– 60cm)","3'
– 5'
(90cm
– 150cm)","low, average","chalk, clay, loam, sand",,well-drained,"showy, evergreen","deer, drought, salt",banks and slopesbeds and bordersground covershanging basketspatio and containerswalls and fences,coastal gardeninformal and cottagemediterranean garden,1,2,30,60,3,5,90,150,8,10
1064,lavandula angustifolia bettys blue lavender,"5
– 9","2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","herbs, shrubs",lavandula - lavender,full sun,"summer (mid,late)","2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",low,"chalk, loam, sand",,well-drained,"dried arrangements, cut flowers, fragrant, showy, evergreen","deer, drought, rabbit, dry soil, rocky soil",beds and bordersedginghedges and screenspatio and containers,city and courtyardcoastal gardengravel and rock gardeninformal and cottagemediterranean garden,2,3,60,90,2,3,60,90,5,9
1065,lavandula angustifolia folgate lavender,"5
– 9","2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","herbs, shrubs",lavandula - lavender,full sun,"spring (mid,late)","2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",low,"chalk, loam, sand",,well-drained,"dried arrangements, cut flowers, fragrant, plant of merit, showy, evergreen","deer, drought, rabbit, dry soil, rocky soil",banks and slopesbeds and bordersedginghedges and screenspatio and containers,city and courtyardcoastal gardengravel and rock gardeninformal and cottagemediterranean garden,2,3,60,90,2,3,60,90,5,9
1066,lavandula angustifolia hidcote lavender,"5
– 9","2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","herbs, shrubs",lavandula - lavender,full sun,spring (late),"1'
– 2'
(30cm
– 60cm)","1'
– 2'
(30cm
– 60cm)",low,"chalk, loam, sand",,well-drained,"dried arrangements, cut flowers, fragrant, plant of merit, showy, evergreen","deer, drought, rabbit, dry soil, rocky soil",banks and slopesbeds and bordersedginghedges and screenspatio and containers,city and courtyardcoastal gardengravel and rock gardeninformal and cottagemediterranean garden,1,2,30,60,1,2,30,60,5,9
1067,lavandula angustifolia lavenite petite lavender,"5
– 9","2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","herbs, shrubs",lavandula - lavender,full sun,"spring (mid,late)","1'
– 2'
(30cm
– 60cm)","1'
– 2'
 (30cm
– 60cm)",low,"chalk, loam, sand",,well-drained,"dried arrangements, cut flowers, fragrant, showy, evergreen","deer, drought, rabbit, dry soil, rocky soil",banks and slopesbeds and bordersedgingpatio and containers,city and courtyardgravel and rock gardeninformal and cottagemediterranean garden,1,2,30,60,1,2,30,60,5,9
1068,lavandula angustifolia little lottie lavender,"5
– 9","2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","herbs, shrubs",lavandula - lavender,full sun,spring (late),"1'
– 2'
(30cm
– 60cm)","2'
– 3'
(60cm
– 90cm)",low,"chalk, loam, sand",,well-drained,"dried arrangements, cut flowers, fragrant, plant of merit, showy, evergreen","deer, drought, rabbit, dry soil, rocky soil",banks and slopesbeds and bordersedgingpatio and containers,city and courtyardcoastal gardengravel and rock gardeninformal and cottagemediterranean garden,1,2,30,60,2,3,60,90,5,9
1069,lavandula angustifolia melissa lilac lavender,"5
– 8","2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22,  23, 24","herbs, shrubs",lavandula - lavender,full sun,"summer (mid,late)","1'
– 2'
(30cm
– 60cm)","2'
– 3'
(60cm
– 90cm)",low,"chalk, loam, sand",,well-drained,"dried arrangements, cut flowers, fragrant, showy, evergreen","deer, drought, rabbit, dry soil, rocky soil",banks and slopesbeds and bordersedgingpatio and containers,city and courtyardcoastal gardengravel and rock gardeninformal and cottagemediterranean garden,1,2,30,60,2,3,60,90,5,8
1070,lavandula angustifolia miss katherine lavender,"5
– 8","2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","herbs,  shrubs",lavandula - lavender,full sun,spring (late),"2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",low,"chalk, loam, sand",,well-drained,"dried arrangements, cut flowers, fragrant, plant of merit, showy, evergreen","deer, drought, rabbit, dry soil, rocky soil",banks and slopesbeds and bordersedginghedges and screenspatio and containers,city and courtyardcoastal gardengravel and rock gardeninformal and cottagemediterranean garden,2,3,60,90,2,3,60,90,5,8
1071,lavandula angustifolia munstead lavender,"5
– 9","2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","herbs, shrubs",lavandula - lavender,full sun,spring (late),"1'
– 2'
(30cm
– 60cm)","2'
– 3'
(60cm
– 90cm)",low,"chalk, loam, sand",,well-drained,"dried arrangements, cut flowers, fragrant, showy, evergreen","deer, drought, rabbit, dry soil, rocky soil",banks and slopesbeds and bordersedginghedges and screenspatio and containers,city and courtyardcoastal gardengravel and rock gardeninformal and cottagemediterranean garden,1,2,30,60,2,3,60,90,5,9
1072,lavandula angustifolia nana alba lavender,"5
– 9","2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","herbs, shrubs",lavandula - lavender,full sun,"summer (mid,late)","10""
– 1'
(25cm
– 30cm)","1'
– 2'
(30cm
– 60cm)",low,"chalk, loam, sand",,well-drained,"dried arrangements, cut flowers, fragrant, plant of merit, showy, evergreen","deer, drought, rabbit, dry soil, rocky soil",banks and slopesbeds and bordersedgingpatio and containers,city and courtyardcoastal gardengravel and rock gardeninformal and cottagemediterranean garden,10,1,25,30,1,2,30,60,5,9
1073,lavandula angustifolia rosea lavender,"5
– 9","2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","herbs, shrubs",lavandula - lavender,full sun,spring (late),"2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",low,"chalk, loam, sand",,well-drained,"dried arrangements, cut flowers, fragrant, showy, evergreen","deer, drought, rabbit, dry soil, rocky soil",banks and slopesbeds and bordersedginghedges and screenspatio and containers,city and courtyardcoastal gardengravel and rock gardeninformal and cottagemediterranean garden,2,3,60,90,2,3,60,90,5,9
1074,lavandula angustifolia royal purple lavender,"5
– 8","2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","herbs, shrubs",lavandula - lavender,full sun,"summer (early,mid)","2'
– 3'
(60cm
– 90cm)","3'
– 4'
(90cm
– 120cm)",low,"chalk, loam, sand",,well-drained,"dried arrangements, cut flowers, fragrant, showy, evergreen","deer, drought, rabbit, dry soil, rocky soil",banks and slopesbeds and bordersedginghedges and screenspatio and containers,city and courtyardcoastal gardengravel and rock gardeninformal and cottagemediterranean garden,2,3,60,90,3,4,90,120,5,8
1075,lavandula angustifolia royal velvet lavender,"5
– 8","2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","herbs, shrubs",lavandula - lavender,full sun,spring (late),"2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",low,"chalk, loam, sand",,well-drained,"dried arrangements, cut flowers, fragrant, showy, evergreen","deer, drought, rabbit, dry soil, rocky soil",banks and slopesbeds and bordersedginghedges and screenspatio and containers,city and courtyardcoastal gardengravel and rock gardeninformal and cottagemediterranean garden,2,3,60,90,2,3,60,90,5,8
1076,lavandula angustifolia thumbelina leigh lavender,"5
– 9","2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","herbs, shrubs",lavandula - lavender,full sun,"summer (early,mid)","10""
– 1'
(25cm
– 30cm)","10""
– 1'
(25cm
– 30cm)",low,"chalk, loam, sand",,well-drained,"dried arrangements, cut flowers, fragrant, showy","deer, drought, rabbit, dry soil, rocky soil",banks and slopesbeds and bordersedginghedges and screenspatio and containers,city and courtyardcoastal gardengravel and rock gardeninformal and cottagemediterranean garden,10,1,25,30,10,1,25,30,5,9
1077,lavandula pedunculata subsp. pedunculata lavender,"9
– 11","4, 5,  6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","herbs, shrubs",lavandula - lavender,full sun,"spring (mid,late)","1'
– 2'
(30cm
– 60cm)","1'
– 2'
(30cm
– 60cm)",low,"chalk, loam, sand",,well-drained,"dried arrangements, cut flowers, fragrant, plant of merit, showy, evergreen","deer, drought, rabbit, dry soil, rocky soil",banks and slopesbeds and bordersedginghedges and screenspatio and containers,city and courtyardcoastal gardengravel and rock gardeninformal and cottagemediterranean garden,1,2,30,60,1,2,30,60,9,11
1078,lavandula pinnata fern leaf lavender,"9
– 10","16, 17, 18, 19, 20, 21, 22, 23, 24","herbs, shrubs",lavandula - lavender,full sun,spring (late),"1'
– 2'
(30cm
– 60cm)","2'
– 3'
(60cm
– 90cm)",low,"chalk, loam, sand",,well-drained,"dried arrangements, cut flowers, fragrant, showy, evergreen","deer, drought, rabbit, dry soil",beds and bordersedgingpatio and containers,city and courtyardcoastal gardengravel and rock gardeninformal and cottagemediterranean garden,1,2,30,60,2,3,60,90,9,10
1079,lavandula stoechas anouk white spanish lavender,"6
– 10","4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","herbs, shrubs",lavandula - lavender,full sun,spring (late),"1'
– 2'
(30cm
– 60cm)","1'
– 2'
(30cm
– 60cm)",low,"chalk, loam, sand",,well-drained,"dried arrangements, fragrant, showy, evergreen","deer, drought, rabbit, dry soil, rocky soil",banks and slopesbeds and bordersedginghedges and screenspatio and containers,city and courtyardcoastal gardengravel and rock gardeninformal and cottagemediterranean garden,1,2,30,60,1,2,30,60,6,10
1080,lavandula stoechas anouk spanish lavender,"6
– 10","4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","herbs, shrubs",lavandula - lavender,full sun,"spring (mid,late)","1'
– 2'
(30cm
– 60cm)","1'
– 2'
(30cm
– 60cm)",low,"chalk, loam, sand",,well-drained,"dried arrangements, fragrant, showy, evergreen","deer, drought, rabbit, dry soil, rocky soil",banks and slopesbeds and bordersedginghedges and screenspatio and containers,city and courtyardcoastal gardengravel and rock gardeninformal and cottagemediterranean garden,1,2,30,60,1,2,30,60,6,10
1081,lavandula stoechas ballerina spanish lavender,"8
– 9","4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","herbs, shrubs",lavandula - lavender,full sun,"spring (mid,late)","1'
– 2'
(30cm
– 60cm)","1'
– 2'
(30cm
– 60cm)",low,"chalk, loam, sand",,well-drained,"dried arrangements, fragrant, plant of merit, showy, evergreen","deer, drought, rabbit, dry soil, rocky soil",banks and slopesbeds and bordersedginghedges and screenspatio and containers,city and courtyardcoastal gardengravel and rock gardeninformal and cottagemediterranean garden,1,2,30,60,1,2,30,60,8,9
1082,lavandula stoechas fathead spanish lavender,"8
– 9","4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","herbs, shrubs",lavandula - lavender,full sun,"spring (mid,late)","1'
– 2'
(30cm
– 60cm)","1'
– 2'
 (30cm
– 60cm)",low,"chalk, loam, sand",,well-drained,"dried arrangements, fragrant, showy, evergreen","deer, drought, rabbit, dry soil, rocky soil",banks and slopesbeds and bordersedginghedges and screenspatio and containers,city and courtyardcoastal gardengravel and rock gardeninformal and cottagemediterranean garden,1,2,30,60,1,2,30,60,8,9
1083,lavandula stoechas kew red spanish lavender,"7
– 9","4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","herbs, shrubs",lavandula - lavender,full sun,"spring (mid,late)","1'
– 2'
(30cm
– 60cm)","1'
– 2'
(30cm
– 60cm)",low,"chalk, loam, sand",,well-drained,"dried arrangements, fragrant, showy, evergreen","deer, drought, rabbit, dry soil, rocky soil",banks and slopesbeds and bordersedginghedges and screenspatio and containers,city and courtyardcoastal gardengravel and rock gardeninformal and cottagemediterranean garden,1,2,30,60,1,2,30,60,7,9
1084,lavandula stoechas pretty polly spanish lavender,"8
– 10","4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","herbs, shrubs",lavandula - lavender,full sun,"spring (mid,late)","1'
– 2'
(30cm
– 60cm)","1'
– 2'
(30cm
– 60cm)",low,"chalk, loam, sand",,well-drained,"dried arrangements, fragrant, plant of merit, showy, evergreen","deer, drought, rabbit, dry soil, rocky soil",banks and slopesbeds and bordersedginghedges and screenspatio and containers,city and courtyardcoastal gardengravel and rock gardeninformal and cottagemediterranean garden,1,2,30,60,1,2,30,60,8,10
1085,lavandula stoechas regal splendour spanish lavender,"8
– 9","4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","herbs, shrubs",lavandula - lavender,full sun,"spring (mid,late)","2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",low,"chalk, loam, sand",,well-drained,"dried arrangements, fragrant, showy, evergreen","deer, drought, rabbit, dry soil, rocky soil",banks and slopesbeds and bordersedginghedges and screenspatio and containers,city and courtyardcoastal gardengravel and rock gardeninformal and cottagemediterranean garden,2,3,60,90,2,3,60,90,8,9
1086,lavandula stoechas with love spanish lavender,"6
– 10","4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","herbs, shrubs",lavandula - lavender,full sun,"spring (mid,late)","1'
– 2'
(30cm
– 60cm)","1'
– 2'
(30cm
– 60cm)",low,"chalk, loam, sand",,well-drained,"dried arrangements, fragrant, showy, evergreen","deer, drought, rabbit, dry soil, rocky soil",banks and slopesbeds and bordersedginghedges and screenspatio and containers,city and courtyardcoastal gardengravel and rock gardeninformal and cottagemediterranean garden,1,2,30,60,1,2,30,60,6,10
1087,lavandula x allardii meerlo lavender,"9
– 10","15, 16, 17, 19, 20, 21, 22, 23, 24",shrubs,lavandula - lavender,"full sun, partial sun","spring (early,mid,late)","2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",low,"chalk, loam, sand",,well-drained,"dried arrangements, cut flowers, fragrant, showy, evergreen","deer, drought",beds and borderspatio and containers,gravel and rock gardeninformal and cottagemediterranean garden,2,3,60,90,2,3,60,90,9,10
